cluster_id	ContamPct
0	0.0
1	10.2
2	30.2
3	7.3
4	71.5
5	23.5
6	119.2
7	4.5
8	118.8
9	44.6
10	87.0
11	37.0
12	19.9
13	0.0
14	35.4
15	9.0
16	17.3
17	60.5
18	114.4
19	8.8
20	0.0
21	4.4
22	3.2
23	115.4
24	44.5
