cluster_id	KSLabel
0	good
1	good
2	mua
3	good
4	mua
5	mua
6	mua
7	good
8	mua
9	mua
10	mua
11	mua
12	good
13	mua
14	mua
15	good
16	good
17	mua
18	mua
19	good
20	good
21	good
22	good
23	mua
24	mua
