cluster_id	Amplitude
0	65.9
1	27.1
2	22.2
3	48.4
4	22.1
5	9.8
6	4.6
7	33.1
8	7.0
9	12.4
10	163.2
11	92.4
12	12.6
13	59.8
14	44.3
15	34.9
16	19.4
17	24.1
18	5.0
19	69.3
20	18.2
21	27.6
22	55.3
23	5.1
24	9.3
