,precision,recall,accuracy,sort_type,datestring,noise_level
24,0.9995327545935819,0.9994603076832828,0.9989942891783299,EMUsort,20250812_180031475701,0.25
21,0.9989118180089026,0.9967009025832555,0.9956271686650284,EMUsort,20250812_180030684707,0.25
0,0.9980697155018545,0.995507347466351,0.9935819707842303,EMUsort,20250812_175950224469,0.25
6,0.9977728732720678,0.9954880177275832,0.993267698961129,EMUsort,20250812_175953502850,0.25
4,0.9984143961200864,0.9940718824068903,0.9924957176801605,EMUsort,20250812_175953264432,0.25
5,0.9962622132754916,0.9961265315804921,0.9924033839833382,EMUsort,20250812_175953476743,0.25
14,0.9948365686485271,0.9973117070893525,0.9921690775414211,EMUsort,20250812_180029293244,0.25
8,0.9971069017410743,0.9941422823834312,0.9912882170084426,EMUsort,20250812_175953920678,0.25
15,0.9989799510191423,0.9921800542729539,0.9911828877448082,EMUsort,20250812_180029317683,0.25
11,0.9954644162159557,0.9942217355592119,0.9897717623102835,EMUsort,20250812_175954442416,0.25
16,0.992067738221853,0.9975568180548546,0.9896744797557127,EMUsort,20250812_180030002423,0.25
17,0.9933598031771549,0.9956583919997548,0.9890244031463409,EMUsort,20250812_180030040578,0.25
26,0.9954528025271003,0.9930458220942256,0.9885948101448261,Kilosort4,20250812_200638018830,0.25
30,0.9920314534350758,0.991988861808235,0.9843135197203285,Kilosort4,20250812_200639626378,0.25
33,0.9948756522027402,0.9890937426080246,0.9842112761076767,Kilosort4,20250812_200640359700,0.25
19,0.9958357647633649,0.9856117829790844,0.9816410650574096,EMUsort,20250812_180030632684,0.25
46,0.9937648279126619,0.9874674942152408,0.9813162511283562,Kilosort4,20250812_200719223400,0.25
34,0.9920936200432784,0.986833465504659,0.9791944952054832,Kilosort4,20250812_200640705606,0.25
35,0.9869032299547117,0.9911987758321266,0.9782774567983488,Kilosort4,20250812_200640761232,0.25
45,0.9901549627691011,0.9877037307378677,0.978033648446778,Kilosort4,20250812_200718813873,0.25
13,0.977956970433179,0.9974635368383395,0.9754695992059166,EMUsort,20250812_180029253997,0.25
25,0.9901363608468857,0.984531495566962,0.9753117500615343,Kilosort4,20250812_200635433387,0.25
47,0.9886271627056787,0.9853239960867665,0.9743303465356987,Kilosort4,20250812_200719687581,0.25
38,0.9890645817879484,0.9800030894834226,0.9696359068743938,Kilosort4,20250812_200715926247,0.25
20,0.9720349538200853,0.9961480474694098,0.9683385232654196,EMUsort,20250812_180030661857,0.25
44,0.972704005257178,0.9936546228540525,0.9666018737585047,Kilosort4,20250812_200718686086,0.25
1,0.9777921774049764,0.9861594126179568,0.9653789403068564,EMUsort,20250812_175952009918,0.25
12,0.9850418844014346,0.9770778187316385,0.9645212418616735,EMUsort,20250812_175954502553,0.25
27,0.9687324401095401,0.9938148790639001,0.9627489016770674,Kilosort4,20250812_200638833445,0.25
9,0.9803099526428463,0.9781889039594489,0.9614403661355899,EMUsort,20250812_175954347336,0.25
23,0.9941089801797641,0.9660998155772991,0.9610092843838365,EMUsort,20250812_180031083668,0.25
3,0.993779555908198,0.965223985922701,0.9597033366745814,EMUsort,20250812_175952686222,0.25
48,0.9922422557536901,0.9662757968506888,0.9590399832894064,Kilosort4,20250812_200720300823,0.25
43,0.9666271202098571,0.9913763488304583,0.9588167350560072,Kilosort4,20250812_200718239188,0.25
31,0.968219123901674,0.9830400977848559,0.9526539682424678,Kilosort4,20250812_200640236632,0.25
40,0.9751820300338163,0.9750868903644632,0.9522053704701658,Kilosort4,20250812_200717253234,0.25
37,0.980968521352328,0.9685306894106631,0.9519537714276147,Kilosort4,20250812_200641364911,0.25
41,0.9776088134760099,0.9701405108664579,0.9490871434788579,Kilosort4,20250812_200717690771,0.25
7,0.9614251792627773,0.9777133760798844,0.9424527243454792,EMUsort,20250812_175953600061,0.25
22,0.9805907409792611,0.9586679959973576,0.9408478587724056,EMUsort,20250812_180030717735,0.25
36,0.9695670535678834,0.9649640227996924,0.9369444367454041,Kilosort4,20250812_200640881919,0.25
32,0.958924708792064,0.9764705464855427,0.9367539719619025,Kilosort4,20250812_200640324635,0.25
29,0.9905960720387658,0.9413990766971182,0.932756543777763,Kilosort4,20250812_200639216170,0.25
18,0.980817636309539,0.946336717594894,0.9325438494453987,EMUsort,20250812_180030216433,0.25
28,0.9453030384881906,0.9856332489298059,0.9322124333878422,Kilosort4,20250812_200639159007,0.25
10,0.9525537005165008,0.9706974776917885,0.9291526472758322,EMUsort,20250812_175954414925,0.25
42,0.9431941891848776,0.9707595436899557,0.9225234334007713,Kilosort4,20250812_200717961285,0.25
49,0.9613655765593407,0.9576472124542021,0.9216141820484381,Kilosort4,20250812_200720509209,0.25
39,0.9358895154657196,0.9708915811857999,0.9072420486073145,Kilosort4,20250812_200717204114,0.25
2,0.9980982411592553,0.9045132764922921,0.9026482713142994,EMUsort,20250812_175952048627,0.25
50,0.9895748835811927,0.9568694555339373,0.946807855882183,MUedit,run_00,0.25
51,0.9083866431775498,0.8805744438245349,0.8375905629071223,MUedit,run_10,0.25
52,0.9771957295373666,0.9493669823227815,0.927896919273347,MUedit,run_11,0.25
53,0.9896712205374568,0.9510265735151652,0.941036471451034,MUedit,run_01,0.25
