,precision,recall,accuracy,sort_type,datestring,noise_level
5,0.9531546246226823,0.9424576552827585,0.9005160674483182,EMUsort,20250429_205223480526,0.2
11,0.9680451498944056,0.9231827833414126,0.8964033401491459,EMUsort,20250429_205314634571,0.2
8,0.9473218403533121,0.9402308937858208,0.8928572534474689,EMUsort,20250429_205255137255,0.2
19,0.9672824275398387,0.9092606119541784,0.8823018010067925,EMUsort,20250429_205402741549,0.2
9,0.9334504235131138,0.9405896256377609,0.8802913537488279,EMUsort,20250429_205302883202,0.2
13,0.9313879512849166,0.9437605050015124,0.8801586107227275,EMUsort,20250429_205327131852,0.2
17,0.9624108005871739,0.898761267493628,0.8694766635369614,EMUsort,20250429_205350863357,0.2
14,0.9629636639794118,0.8991105208731602,0.8691323622305873,EMUsort,20250429_205338502132,0.2
18,0.9589421093128605,0.8991236471271689,0.86536231663579,EMUsort,20250429_205402601678,0.2
10,0.9716707678272151,0.8821558907677772,0.8600897563775725,EMUsort,20250429_205313856353,0.2
6,0.9236293857248281,0.9230682151322679,0.8597355200342734,EMUsort,20250429_205242637331,0.2
15,0.9400918284781087,0.9042991654249348,0.8512446389091262,EMUsort,20250429_205338515247,0.2
7,0.9179518845385454,0.9228305423090447,0.8506865479409143,EMUsort,20250429_205242802076,0.2
1,0.9441276441324767,0.8907619818310432,0.850632434953722,EMUsort,20250429_205153217882,0.2
21,0.911080877974934,0.8870267296694445,0.8201136778472928,EMUsort,20250429_205417581915,0.2
4,0.9474239355034355,0.8462440783079108,0.8182128908438878,EMUsort,20250429_205223235973,0.2
12,0.9088922181206858,0.8657494792195329,0.8022989142687255,EMUsort,20250429_205327121098,0.2
24,0.9241331248489841,0.8431372574617434,0.7918232317215946,EMUsort,20250429_205456488378,0.2
23,0.8959176846436222,0.8479436966590239,0.7754314700789168,EMUsort,20250429_205429165201,0.2
3,0.8447047048978739,0.837803490132619,0.7720625273131372,EMUsort,20250429_205208006941,0.2
20,0.8857607356171527,0.8256000833297783,0.760590422654494,EMUsort,20250429_205414894790,0.2
2,0.8402316895396991,0.8231925437872238,0.75388998879216,EMUsort,20250429_205207884521,0.2
38,0.8927842137033002,0.8029033500405405,0.7376270151540307,Kilosort4,20250429_210236031302,0.2
0,0.8547834836857348,0.7820683469982718,0.7293456159164804,EMUsort,20250429_205153078457,0.2
22,0.8657022274332441,0.8019633866094953,0.7266081936825104,EMUsort,20250429_205428845367,0.2
37,0.8830968354573876,0.7847241662181778,0.7147278061930548,Kilosort4,20250429_210234992804,0.2
27,0.8479050971986579,0.7955675917948903,0.7088924815664084,Kilosort4,20250429_210038028626,0.2
16,0.8018163190049885,0.8029069239454945,0.706848143076524,EMUsort,20250429_205350813908,0.2
26,0.8294693582960943,0.8008950962472328,0.7044469539024679,Kilosort4,20250429_210024522665,0.2
34,0.8825311142907836,0.7495659188418174,0.6910594398581359,Kilosort4,20250429_210157012368,0.2
28,0.7628691825393775,0.814208802773049,0.6413855665061583,Kilosort4,20250429_210049542390,0.2
30,0.8270606871765999,0.7177336834646029,0.6325367859657931,Kilosort4,20250429_210118040808,0.2
39,0.844745437911322,0.7030830612886043,0.6318842334235808,Kilosort4,20250429_210248105520,0.2
25,0.7667092861045156,0.7407468762418847,0.6313593508409772,Kilosort4,20250429_210019961044,0.2
43,0.8651683877839579,0.6956052317378612,0.6274983087888023,Kilosort4,20250429_210312199297,0.2
33,0.8492312688768943,0.6805110197109737,0.6199629787137104,Kilosort4,20250429_210148338022,0.2
47,0.7962936590024408,0.6869060104479064,0.6175704195427758,Kilosort4,20250429_210336931971,0.2
31,0.8235632414752689,0.6874496579414855,0.6107066859707733,Kilosort4,20250429_210129234955,0.2
44,0.8135319225313097,0.7053931331642054,0.6048601703751493,Kilosort4,20250429_210312508572,0.2
36,0.7887647899224042,0.6693950968732659,0.5946405543392019,Kilosort4,20250429_210222359161,0.2
42,0.8945676009999511,0.6378854671991608,0.5927849877259583,Kilosort4,20250429_210301360248,0.2
32,0.6675881095740103,0.8165673540370146,0.592275996879009,Kilosort4,20250429_210137518419,0.2
46,0.7706196698119426,0.6914812634209241,0.5711964702879014,Kilosort4,20250429_210325882521,0.2
41,0.7333474424362186,0.636259645311109,0.5417909227033446,Kilosort4,20250429_210300115086,0.2
45,0.730519187947997,0.6274502511146486,0.5249312024990503,Kilosort4,20250429_210325779524,0.2
40,0.6918056751942371,0.6171487158662503,0.4992765122080204,Kilosort4,20250429_210249305221,0.2
49,0.7935911789637451,0.5434798467480616,0.4962892806174154,Kilosort4,20250429_210349316784,0.2
48,0.7324155164933349,0.594816439834508,0.4901333685011964,Kilosort4,20250429_210337212805,0.2
29,0.704688358955636,0.5532045447555773,0.4804843921932133,Kilosort4,20250429_210101735405,0.2
35,0.5893243258762287,0.5810419458628787,0.441422050416338,Kilosort4,20250429_210208979711,0.2
50,0.5756903209831928,0.4835883503896059,0.4229772971777973,MUedit,run1,0.2
51,0.701980403569312,0.6850926207569661,0.574831733764589,MUedit,run2,0.2
52,0.6005876934686114,0.6546522799203902,0.4869134714253933,MUedit,run3,0.2
53,0.5517705614494709,0.5193179014362194,0.4137576011252949,MUedit,run4,0.2
